Location	Zip Code	Year 1	Year 2	Year 3	Year 4	Year 5
Location-1	53287	39.6	17.4	39.2	17.7	29.0
Location-10	50495	23.2	43.9	48.0	10.0	40.4
Location-100	13161	44.9	23.9	16.0	21.3	19.4
Location-1000	40035	36.0	32.0	9.9	26.3	48.2
Location-1001	36553	3.3	36.1	19.3	47.4	12.6
Location-1002	14133	18.0	1.8	15.2	49.4	25.0
Location-1003	58016	18.5	36.4	31.3	9.7	31.4
Location-1004	81415	10.5	23.5	13.8	3.1	29.8
Location-1005	18561	44.2	16.5	22.7	41.0	47.4
Location-1006	82275	33.2	1.3	5.8	5.1	30.6
Location-1007	30575	47.1	42.1	40.1	11.2	19.2
Location-1008	94874	23.5	46.8	6.8	34.7	2.0
Location-1009	82212	19.9	14.4	44.4	26.8	34.3
Location-101	96887	31.8	38.4	42.0	9.2	11.6
Location-1010	24761	3.1	20.8	21.4	2.1	23.4
Location-1011	42430	13.3	5.5	25.4	5.0	3.5
Location-1012	46234	36.6	6.6	4.7	18.8	47.1
Location-1013	45107	14.2	5.4	37.8	26.6	49.5
Location-1014	39786	2.3	34.4	2.3	20.1	45.9
Location-1015	12501	49.9	19.9	42.3	49.0	28.2
Location-1016	70557	22.9	13.7	47.2	22.9	24.7
Location-1017	65434	38.0	48.7	22.1	7.9	1.4
Location-1018	86995	16.3	46.5	30.1	29.2	25.0
Location-1019	50958	15.8	13.2	17.6	9.1	49.8
Location-102	26682	24.1	31.1	46.6	18.2	29.6
Location-1020	79539	9.8	9.9	31.1	5.6	13.0
Location-1021	23518	36.3	13.1	32.5	20.1	45.1
Location-1022	61472	20.8	24.3	11.0	45.9	34.7
Location-1023	87342	2.6	45.7	25.2	31.0	3.7
Location-1024	86909	20.8	8.3	18.5	29.1	33.5
Location-1025	48593	34.4	20.2	5.6	23.5	43.8
Location-1026	90091	32.9	38.6	26.9	1.3	31.9
Location-1027	99874	13.2	33.2	19.2	47.4	20.3
Location-1028	12473	23.9	46.4	11.9	25.8	46.6
