Student ID	Cumulative GPA	Age	Total Course Credits
41192919	3.61	26	31
27265304	3.59	22	45
73404822	2.46	16	109
60325313	2.12	22	44
98090372	3.94	18	52
47177876	2.65	18	85
77121697	2.67	26	75
23676475	3.63	38	73
53557227	3.42	26	25
36528956	2.71	32	115
52299771	2.86	34	62
87642541	3.91	36	67
35881764	3.83	27	78
87849791	2.74	27	97
30648555	2.02	19	87
21300150	2.74	39	62
24757870	2.36	27	87
73448260	2.48	30	35
19145203	3.13	29	86
26265583	2.53	38	72
96067272	1.83	24	85
12882548	3.64	24	44
96991946	2.45	35	87
33109705	1.95	25	35
64720857	3.44	27	58
27604677	2.06	35	64
13773301	3.97	29	57
61702000	3.82	15	80
39262928	2.21	32	36
56734104	3.82	32	82
10445742	2.29	20	99
84579133	2.50	18	89
24728845	2.69	22	95
70589456	2.73	39	52
49499444	2.77	38	60
94052946	3.71	37	63
95211547	2.38	22	70
75523426	2.10	26	101
45039916	3.94	16	18
81194884	3.19	32	30
58751615	3.78	32	71
49229695	3.30	19	42
15099879	3.09	25	54
49516253	2.46	23	15
68758631	2.55	25	48
59830955	3.58	15	20
62820388	2.01	27	50
90902239	2.29	25	71
19662945	2.80	17	65
31077910	1.86	25	95
28708775	2.62	30	43
24627731	3.61	35	50
98953285	2.28	34	40
21982185	2.65	26	104
23738038	1.80	37	80
83002559	3.20	30	107
71897468	3.98	28	36
77506638	3.41	37	85
53595511	2.89	21	25
49786935	2.83	16	107
46166002	3.76	34	44
98990868	2.98	27	52
23732308	3.47	37	115
49535493	3.90	36	91
65834802	3.03	30	87
36928392	3.07	20	95
81314356	2.47	17	107
17495833	2.11	18	85
35002099	1.89	28	49
40305289	1.93	28	28
62745603	3.84	15	95
80342371	2.31	15	100
28646553	1.97	38	80
81562248	3.15	36	87
92265961	2.32	31	97
70446370	2.48	28	114
67167226	2.41	21	103
33654885	2.70	35	71
37488907	3.71	17	67
87995150	2.01	33	81
84364722	3.75	40	106
19435950	1.82	20	16
98507128	2.66	36	80
32225237	3.26	25	78
97697799	2.04	37	55
20987152	3.00	31	17
16240353	3.51	39	24
90937160	3.78	36	99
69605143	3.05	15	90
60237184	3.23	27	105
46094335	2.42	40	29
92921014	3.49	36	72
96450993	2.78	24	52
98973814	2.24	37	40
88184403	2.85	20	79
19836333	2.10	25	97
13812252	2.23	16	91
49664396	2.58	25	69
42435477	3.96	39	56
69915739	3.20	32	80
79847370	3.18	38	78
87133289	2.84	30	32
49756535	3.90	39	46
83776503	2.06	32	47
55589078	3.69	32	36
23301730	3.63	40	36
94462252	3.96	39	44
36681366	3.87	25	81
38875640	2.08	34	94
26313649	2.45	17	45
98049483	2.59	28	116
36961184	2.45	32	35
70549958	3.21	19	113
85902778	2.09	17	49
92090186	3.80	35	76
70365118	3.09	39	104
17304332	3.19	29	76
13302037	3.92	35	58
45430868	2.35	37	47
61089941	3.62	19	19
72626459	2.35	18	24
47465996	3.03	16	59
78864220	3.08	39	54
60288799	2.80	19	86
19870046	3.92	34	70
27848040	3.22	39	59
53344944	3.21	19	119
95744734	1.97	23	90
51904038	3.95	16	51
20278278	3.17	16	32
60262668	3.63	39	27
72136865	2.18	24	73
11775452	2.24	21	54
30936940	3.57	36	55
89426840	2.03	18	96
11028989	3.15	24	22
21557727	3.28	27	71
10144159	2.83	28	103
31759430	1.96	20	110
24397355	1.93	26	52
50665650	3.12	30	50
47223354	2.21	19	64
26585859	1.92	30	24
67127824	2.40	29	84
16706150	2.52	37	72
99704502	2.55	26	91
32497519	3.67	21	24
18995192	2.17	16	52
58694115	3.88	20	54
48737240	2.19	24	63
55251988	3.11	19	79
96396186	3.46	26	91
72027005	2.27	38	118
98929236	1.89	30	63
89447839	3.34	29	74
57418899	3.46	22	39
88243554	3.53	29	60
77442316	2.73	28	81
69776759	2.42	25	43
13305987	3.16	16	71
56959502	3.59	26	44
38579969	3.98	36	59
26653624	3.97	16	113
10823480	2.12	20	55
84906118	2.46	22	36
74590299	2.67	15	66
85840406	3.40	31	92
74379610	2.14	35	50
85810061	3.03	22	104
94242775	2.08	18	85
61227021	3.22	23	106
75524004	2.96	39	79
51664354	3.50	15	42
74124905	2.75	27	94
74330930	1.97	33	53
44890999	2.70	18	16
22641885	3.76	22	103
43088689	3.26	23	100
51684877	3.44	38	55
25216422	1.82	31	59
61435954	2.34	38	78
49326460	3.67	34	56
46574973	2.43	22	39
57865468	2.46	15	113
75664119	2.64	23	97
65420666	2.77	17	92
67520380	1.87	40	26
63713145	3.55	31	92
21852055	2.12	24	19
24600103	3.59	29	118
81645721	2.25	33	117
81641494	2.69	23	110
33624035	2.35	20	106
29638767	2.91	20	118
44628426	3.34	18	118
76803253	2.81	17	41
91131793	3.06	15	45
88108752	3.89	20	73
87082879	3.94	35	92
14787177	3.95	15	63
74523945	2.13	31	99
13910403	3.29	24	59
19476078	3.22	40	64
21160819	2.62	23	96
32484860	2.43	16	64
89165299	3.83	30	43
97972084	2.60	19	56
58355399	3.63	25	23
93016806	2.31	18	25
62537973	3.93	23	67
28585706	3.81	38	56
30629031	3.33	39	93
18544362	2.86	31	61
65610586	3.10	28	34
31956357	2.43	39	53
29896990	2.78	17	68
34555984	2.75	24	103
73608662	2.61	29	71
38293748	1.95	39	20
95749843	2.74	21	101
66197939	1.80	25	113
82197735	2.40	18	57
16849502	3.57	20	83
92513775	2.86	26	18
84114240	3.02	15	106
16118450	2.30	33	43
52915324	2.30	36	35
45594819	3.13	36	37
70172786	3.92	29	26
75106904	2.76	15	117
28675463	3.37	17	92
21800308	2.95	34	21
37639190	2.62	39	64
43878978	2.51	17	83
58551256	1.91	40	71
31597886	3.49	33	107
61371069	3.07	22	87
82237539	2.87	21	21
33819653	1.87	34	105
40043094	1.94	38	28
83508060	3.65	22	118
33394168	2.44	25	29
63853400	1.83	40	88
87774850	2.16	24	53
88260757	3.38	15	88
41823459	2.93	32	55
86354009	1.88	28	98
76302277	2.40	33	109
67676138	1.99	16	32
16394191	3.69	30	15
95556956	3.47	29	75
23953654	1.92	37	47
98693921	3.85	29	54
85551432	3.63	35	21
72402520	2.48	24	65
61678470	2.07	20	56
40596860	2.19	26	27
90828367	3.45	40	86
17590072	3.75	40	119
11626018	3.00	32	55
22768200	2.02	31	91
63575561	3.04	20	41
33600583	1.81	35	27
14187548	2.39	24	116
37386958	2.34	18	107
55927364	3.73	22	117
24567644	2.86	28	81
99619311	3.91	39	110
95251248	3.05	33	22
43998066	2.10	17	85
85333258	3.32	35	29
41556202	3.21	31	94
76631640	2.67	24	76
84933733	3.79	18	42
88839079	2.66	21	107
94945249	2.86	23	104
11026906	3.01	26	50
70060867	2.34	19	38
79050935	3.41	16	103
42391304	2.53	31	52
92977826	3.85	18	110
46916841	1.84	21	90
71910413	3.51	37	54
53818058	3.57	39	55
82028972	3.36	35	118
42272300	3.62	36	53
93477544	3.84	25	61
74091096	2.12	32	83
33372590	3.90	36	105
45545386	3.91	29	21
40425257	3.01	31	93
64665417	1.87	30	54
24360295	1.84	20	120
13094609	3.70	40	53
33177742	2.88	32	41
51525614	3.58	28	32
46626152	3.87	40	62
57408368	3.62	35	86
19535030	1.97	30	98
51387648	1.90	39	96
74261880	3.85	20	104
70204477	1.87	23	32
34249858	3.42	30	97
74654737	1.82	24	42
12631364	3.52	20	68
20779048	2.85	38	120
81374644	2.44	33	91
29366520	3.17	20	101
90671850	3.61	34	93
26762832	2.34	27	77
34112382	2.00	19	20
48318224	3.29	38	46
47829612	3.83	21	51
29479431	3.09	15	56
64229846	3.94	27	58
99175692	2.70	36	47
65023731	2.82	24	36
13196403	3.31	15	51
60841350	3.54	28	50
16082816	2.23	27	59
55271010	3.88	28	45
70399827	3.82	33	17
23125433	2.84	38	79
64857759	3.58	20	56
66691328	2.75	29	97
34741444	3.59	33	107
65212079	2.70	24	78
65965994	3.02	28	26
13919904	2.03	28	62
87817418	2.81	27	44
54770664	3.93	16	120
30241365	2.51	15	56
97194909	2.83	32	57
10911131	2.76	28	52
76300754	3.12	38	108
50377743	3.45	36	108
17077403	2.52	19	116
91909252	3.23	28	78
17460716	3.40	33	40
68906917	3.77	18	101
69789700	3.85	28	51
90010330	3.52	22	115
79475875	2.37	26	55
84692419	3.48	39	38
43982325	2.09	33	23
86065054	2.56	29	56
31018766	2.63	32	117
45813778	2.75	40	23
33271128	2.73	20	48
49392305	2.66	22	114
74664672	2.78	16	112
48202445	2.67	22	76
66809416	3.96	31	63
47427373	3.97	27	59
42884353	1.96	30	25
48885414	2.55	32	59
66373648	3.17	20	83
