Salary	Hours/Per Week	Age	No. of Dependents
55406.44	20	28	1
58560.44	55	40	2
27556.84	29	20	1
45703.99	58	26	2
48099.21	46	38	2
56340.81	57	29	2
49182.94	45	54	4
22109.71	44	46	1
34067.67	26	30	4
19830.10	48	51	0
16466.23	52	31	1
52405.26	34	20	2
39085.43	22	48	2
50896.94	29	38	3
53666.97	55	50	4
43687.00	25	18	0
21198.46	28	49	4
16132.65	33	28	2
38294.37	32	34	1
32377.74	28	32	1
20482.46	55	54	3
33807.67	45	48	4
18705.61	25	53	3
38483.41	58	29	4
44755.48	47	41	0
28241.93	34	36	3
41572.89	25	42	4
27271.33	24	19	4
51097.85	33	45	3
45066.87	36	35	4
28087.77	38	24	2
27824.87	52	35	0
37754.01	40	49	2
34858.80	39	51	3
27860.07	27	32	3
54097.86	27	29	2
42888.10	55	34	2
41829.96	32	18	3
54544.99	31	44	3
54328.35	31	23	4
15092.17	58	38	3
39909.38	21	41	1
36459.96	60	19	1
24989.59	50	37	3
49154.33	41	21	2
57163.77	42	40	0
22948.76	33	32	2
41351.52	58	34	0
15692.81	34	37	2
55513.45	35	21	2
19390.04	46	43	2
40396.88	33	54	0
55419.15	31	40	1
19288.44	41	35	3
21669.59	27	55	4
43398.10	23	54	0
51299.07	33	26	2
37155.19	21	18	3
42729.40	53	27	2
28788.43	45	37	4
27113.48	27	19	4
45112.87	51	48	3
49071.56	29	45	4
31801.55	55	31	2
44273.14	29	20	4
26183.80	40	32	1
51038.00	48	48	2
20743.17	48	21	1
22665.51	34	53	0
54652.41	59	44	4
47800.60	46	18	2
38180.55	55	47	2
54411.67	24	22	1
40950.44	20	55	0
46844.04	27	37	0
36100.84	43	21	0
32894.06	22	19	0
49940.58	60	30	4
16243.90	28	28	0
30116.03	44	31	1
27064.69	52	52	0
23213.84	43	28	2
21557.85	40	27	1
32614.05	50	39	0
54570.51	51	49	0
39756.24	26	22	1
40005.75	20	47	4
57101.69	57	28	1
38055.21	48	28	3
36275.87	25	40	4
47855.79	54	32	0
52786.48	58	37	4
38180.55	46	40	1
56390.55	26	23	3
23546.80	24	18	0
20926.50	53	18	1
20332.89	59	55	0
33388.77	37	24	0
49611.82	57	48	2
24639.36	27	30	1
27093.66	48	28	4
29196.96	46	41	1
50356.00	24	25	1
42992.88	53	51	4
55993.00	35	43	2
54575.46	59	52	0
21934.42	41	46	2
44298.63	38	18	0
42593.27	42	26	2
43663.77	44	38	4
35809.24	37	44	1
30960.95	35	39	3
58904.60	50	53	2
28217.26	30	45	1
41213.20	53	51	2
54782.64	51	21	4
37532.63	60	50	0
23327.69	35	55	1
50094.40	30	51	4
26264.91	47	41	3
52022.84	55	19	4
42548.82	31	53	1
18410.69	35	44	3
27836.30	56	25	2
32650.75	42	45	2
37372.15	44	44	1
53494.20	51	55	0
50316.70	20	43	1
39002.81	54	36	1
49189.37	30	41	1
33462.48	23	35	2
43209.14	40	53	0
40772.13	36	22	2
17338.07	26	48	4
30617.38	21	32	1
47564.42	38	54	1
41964.87	49	39	4
41692.92	32	43	1
50848.37	58	48	3
53464.28	48	21	0
45370.86	38	20	1
15671.51	59	24	2
27123.59	42	48	0
